2005.06.29 20:11 B c:\work\engine\xml\game\login.xml <-- xml /butsa.ru/www/htdocs/engine/xml/game login.xml
2005.06.29 20:19 B c:\work\engine\xml\game\login.xml --> ftp.soccer.ru /butsa.ru/www/htdocs/engine/xml/game login.xml
2005.06.29 22:42 B C:\Work\engine\xml\game\login.xml --> 83.222.14.68 /butsa.ru/www/htdocs/engine/xml/game login.xml
2005.07.04 16:12 B C:\Work\engine\xml\game\login.xml --> ftp.soccer.ru /soccer.ru/www/htdocs/engine/xml/game login.xml
2005.07.04 16:12 B C:\Work\engine\xml\game\WS_FTP.LOG --> ftp.soccer.ru /soccer.ru/www/htdocs/engine/xml/game WS_FTP.LOG
2005.07.05 21:24 B C:\Work\engine\xml\admin\game\login.xml --> 83.222.14.68 /butsa.ru/www/htdocs/engine/xml/admin/game login.xml
2005.07.05 21:24 B C:\Work\engine\xml\admin\game\WS_FTP.LOG --> 83.222.14.68 /butsa.ru/www/htdocs/engine/xml/admin/game WS_FTP.LOG
2005.07.16 12:11 B c:\work\engine\xml\admin\game\login.xml --> ftp.soccer.ru /butsa.ru/www/htdocs/engine/xml/admin/game login.xml
2005.07.16 12:11 B c:\work\engine\xml\admin\game\WS_FTP.LOG --> ftp.soccer.ru /butsa.ru/www/htdocs/engine/xml/admin/game WS_FTP.LOG
